id,creation_date,post_id,vote_type_id
42886858,2013-03-10 00:00:00+00:00,15243627,9
78408297,2014-11-14 00:00:00+00:00,26922478,11
133082371,2017-02-23 00:00:00+00:00,42406782,11
57764320,2013-11-22 00:00:00+00:00,20136083,11
22620133,2011-12-30 00:00:00+00:00,8679470,11
165647794,2018-06-19 00:00:00+00:00,50920596,11
161319274,2018-04-13 00:00:00+00:00,49824747,11
106931178,2016-02-06 00:00:00+00:00,35166080,8
28288914,2012-05-22 00:00:00+00:00,10655759,9
56131254,2013-10-24 00:00:00+00:00,19542970,9
107475979,2016-02-14 00:00:00+00:00,35234445,8
96941989,2015-09-08 00:00:00+00:00,32454768,11
56277633,2013-10-27 00:00:00+00:00,19621393,11
89625550,2015-05-21 00:00:00+00:00,16278592,11
124390791,2016-10-17 00:00:00+00:00,40045325,8
8996513,2010-08-04 00:00:00+00:00,3388205,8
96302272,2015-08-28 00:00:00+00:00,32278233,11
116881883,2016-06-27 00:00:00+00:00,37941945,9
15835946,2011-06-10 00:00:00+00:00,6304047,11
109720946,2016-03-15 00:00:00+00:00,35675803,9
65583483,2014-04-01 00:00:00+00:00,22786206,11
8529374,2010-07-09 00:00:00+00:00,2939436,8
156495809,2018-02-05 00:00:00+00:00,48556775,8
8584406,2010-07-13 00:00:00+00:00,3234327,11
119110232,2016-07-30 00:00:00+00:00,38644245,8
168522764,2018-08-02 00:00:00+00:00,51646295,11
18832432,2011-09-05 00:00:00+00:00,7307924,11
171586628,2018-09-19 00:00:00+00:00,52401346,11
46576458,2013-05-08 00:00:00+00:00,14660951,9
145776265,2017-08-25 00:00:00+00:00,45362091,11
112904310,2016-04-29 00:00:00+00:00,36935007,12
45057303,2013-04-13 00:00:00+00:00,15848127,9
119459447,2016-08-04 00:00:00+00:00,38681193,9
98843669,2015-10-07 00:00:00+00:00,32941245,9
22228976,2011-12-17 00:00:00+00:00,4991941,11
129763493,2017-01-07 00:00:00+00:00,41490489,8
110484360,2016-03-26 00:00:00+00:00,36236251,11
64888435,2014-03-20 00:00:00+00:00,22544934,12
155033995,2018-01-14 00:00:00+00:00,48251792,11
6773039,2010-03-24 00:00:00+00:00,2504812,9
39274755,2013-01-08 00:00:00+00:00,14211718,11
12894633,2011-02-22 00:00:00+00:00,5037051,9
135920468,2017-04-04 00:00:00+00:00,40562350,11
153081677,2017-12-11 00:00:00+00:00,47759326,11
98675960,2015-10-05 00:00:00+00:00,32833322,8
20202706,2011-10-18 00:00:00+00:00,7814867,11
36470986,2012-11-14 00:00:00+00:00,13386571,11
11406256,2010-12-14 00:00:00+00:00,4278452,9
150995318,2017-11-10 00:00:00+00:00,47220565,11
165187498,2018-06-11 00:00:00+00:00,50804919,9
158069167,2018-02-27 00:00:00+00:00,48835667,9
44007826,2013-03-27 00:00:00+00:00,15563464,9
162488760,2018-05-01 00:00:00+00:00,50119206,11
18317987,2011-08-19 00:00:00+00:00,6993275,9
126882546,2016-11-23 00:00:00+00:00,40763780,4
156994067,2018-02-12 00:00:00+00:00,48683823,8
24486924,2012-02-18 00:00:00+00:00,9323755,11
15990658,2011-06-15 00:00:00+00:00,6360507,11
55914001,2013-10-21 00:00:00+00:00,19452016,8
123582457,2016-10-05 00:00:00+00:00,39472799,9
20228442,2011-10-19 00:00:00+00:00,7825085,11
19494705,2011-09-26 00:00:00+00:00,5981504,9
53101900,2013-08-30 00:00:00+00:00,18537106,11
66345764,2014-04-14 00:00:00+00:00,23007037,9
51729969,2013-08-06 00:00:00+00:00,18078625,11
25150787,2012-03-06 00:00:00+00:00,9531639,8
128419995,2016-12-16 00:00:00+00:00,41175677,11
70880719,2014-07-01 00:00:00+00:00,24519087,11
126677445,2016-11-20 00:00:00+00:00,40537055,9
97186693,2015-09-11 00:00:00+00:00,32315415,9
88264962,2015-05-01 00:00:00+00:00,29982297,11
119464047,2016-08-04 00:00:00+00:00,38776970,12
111101097,2016-04-05 00:00:00+00:00,36380305,8
30889627,2012-07-22 00:00:00+00:00,11550470,8
49201452,2013-06-21 00:00:00+00:00,17240850,11
35930015,2012-11-05 00:00:00+00:00,9319387,11
165322682,2018-06-13 00:00:00+00:00,50839005,11
59773490,2013-12-29 00:00:00+00:00,20670442,9
134278970,2017-03-11 00:00:00+00:00,42737626,11
113140501,2016-05-03 00:00:00+00:00,37003529,11
152092895,2017-11-27 00:00:00+00:00,47499589,11
112324560,2016-04-21 00:00:00+00:00,36765296,11
136359905,2017-04-10 00:00:00+00:00,41288899,12
150329790,2017-11-01 00:00:00+00:00,46994833,11
49009453,2013-06-19 00:00:00+00:00,17180584,11
83661708,2015-02-17 00:00:00+00:00,28519439,8
27620645,2012-05-07 00:00:00+00:00,10411354,9
